School Year,County,Institution ID,BEDS Code,School Name,Affliation,PreK,HalfK,FullK,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,HS
2019-20,NEW YORK,800000047488,310200999592,"NYSARC, INC-NYC CHAPTER",INDEPENDENT,284,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047261,310200999614,SCHOOL FOR YOUNG PERFORMERS,INDEPENDENT,0,0,0,0,1,3,1,3,0,0,1,2,0,1,0,0,1
2019-20,NEW YORK,800000056121,310200999914,LEARNINGSPRING SCHOOL,INDEPENDENT,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0
2019-20,NEW YORK,800000057267,310200999964,AARON SCHOOL (K-7),INDEPENDENT,0,0,8,6,12,11,10,19,23,0,26,0,0,0,0,0,0
2019-20,NEW YORK,800000057335,310200999971,KESWELL SCHOOL (THE),INDEPENDENT,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047385,310300145234,BLESSED SACRAMENT SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,67,0,45,41,44,39,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047386,310300145259,CORPUS CHRISTI SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,60,0,6,8,9,9,15,12,18,0,13,19,0,0,0,0,0
2019-20,NEW YORK,800000047393,310300145456,XAVIER HIGH SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,0,0,0,257,284,281,238,1060
2019-20,NEW YORK,800000047395,310300147412,ASCENSION SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,66,0,13,14,7,19,17,21,23,0,20,25,0,0,0,0,0
2019-20,NEW YORK,800000057935,310300149994,CRISTO REY HIGH SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,0,0,0,99,106,91,81,377
2019-20,NEW YORK,800000048228,310300215552,SOLOMON SCHECHTER SCHOOL OF MANHATTA,JEWISH,0,0,13,18,12,13,18,14,17,0,21,12,0,0,0,0,0
2019-20,NEW YORK,800000086004,310300226209,GAN ALIYA,JEWISH,0,0,0,2,4,8,3,2,1,0,1,0,0,0,0,0,0
2019-20,NEW YORK,800000091335,310300226461,GAN ALIYA,JEWISH,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047384,310300226796,MANHATTAN DAY SCHOOL,JEWISH,48,0,55,48,47,34,43,31,48,0,52,38,0,0,0,0,0
2019-20,NEW YORK,800000047361,310300227929,RODEPH SHOLOM SCHOOL,JEWISH,52,0,40,44,35,49,44,42,56,0,38,32,0,0,0,0,0
2019-20,NEW YORK,800000047362,310300229121,YESHIVA KETANA OF MANHATTAN,JEWISH,24,0,17,14,7,13,11,12,9,0,3,6,0,0,0,0,0
2019-20,NEW YORK,800000047363,310300229306,BEIT RABBAN DAY SCHOOL,JEWISH,29,0,14,17,16,13,18,8,11,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000059249,310300515340,HARLEM ACADEMY,EPISCOPAL,0,0,0,9,14,14,18,16,15,0,16,14,0,0,0,0,0
2019-20,NEW YORK,800000047349,310300515858,ST HILDA'S & ST HUGH'S SCHOOL,EPISCOPAL,35,0,35,36,30,31,36,33,31,0,35,29,0,0,0,0,0
2019-20,NEW YORK,800000047350,310300515862,TRINITY SCHOOL,EPISCOPAL,0,0,61,61,61,60,59,58,60,0,65,65,125,128,125,115,493
2019-20,NEW YORK,800000047351,310300516745,CATHEDRAL SCHOOL,EPISCOPAL,0,0,30,32,28,31,38,34,37,0,27,32,0,0,0,0,0
2019-20,NEW YORK,800000047352,310300628144,SR CLARA MUHAMMED ES,ISLAMIC,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047333,310300756725,ALEXANDER ROBERTSON SCHOOL,PRESBYTERIAN,3,0,3,13,9,7,7,6,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000059559,310300995504,IDEAL SCHOOL AND ACADEMY,INDEPENDENT,0,0,13,15,17,17,12,19,30,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000060469,310300995619,MANHATTAN CHILDREN'S CENTER (THE),INDEPENDENT,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0
2019-20,NEW YORK,800000063731,310300995746,GATEWAY MIDDLE SCHOOL (THE),INDEPENDENT,0,0,0,0,0,0,0,31,29,0,24,22,0,0,0,0,0
